;Task 1: US;;Task 2: ENG;;;Task 3: AUS;;;;Task 4: IND;;;;;Task 5: SCO;;;;;
Method;US;AVG;US-2;ENG-2;AVG-2;US-3;ENG-3;AUS-3;AVG-3;US-4;ENG-4;AUS-4;IND-4;AVG-4;US-5;ENG-5;AUS-5;IND-5;SCO-5;AVG-5
Initial US Model;15,4;15,36;15,4;12,7;14,01;15,4;12,7;13,4;13,79;15,4;12,7;13,4;21,4;15,69;15,4;12,7;13,4;21,4;13,5;15,25
Separate Model;15,4;15,36;15,4;10,2;12,77;15,4;10,2;8,9;11,46;15,4;10,2;8,9;16,0;12,59;15,4;10,2;8,9;16,0;10,5;12,17
Fine-Tuning;15,4;15,36;17,0;10,2;13,61;17,9;10,8;8,9;12,51;17,2;12,4;12,4;16,0;14,47;18,2;12,1;12,4;22,2;10,5;15,07
  + averaging [1/t];15,4;15,36;15,4;10,8;13,10;15,6;10,4;9,7;11,89;15,2;10,6;10,1;19,9;13,95;15,9;10,9;10,7;19,3;11,8;13,71
LWF [𝞴=0.1];15,4;15,36;16,7;10,1;13,40;17,8;10,7;8,8;12,42;16,5;11,9;11,6;15,8;13,95;17,8;11,7;12,4;21,0;10,1;14,60
UOE;15,4;15,36;17,2;10,5;13,85;17,8;11,1;9,0;12,62;17,4;12,8;12,4;16,3;14,75;18,5;12,5;12,8;22,6;10,5;15,36
CLRL-Tuning;15,4;15,36;17,1;11,0;14,05;18,0;11,7;9,6;13,08;17,3;12,9;13,1;17,6;15,22;17,9;12,2;12,4;22,3;11,6;15,26
KD [2k, 𝞴=0.1];15,4;15,36;16,3;10,3;13,32;17,1;10,4;8,9;12,15;16,3;11,4;10,3;16,2;13,53;17,0;11,4;11,5;19,1;10,4;13,86
KD [200, 𝞴=0.1];15,4;15,36;16,7;10,2;13,45;17,8;10,6;9,0;12,46;16,2;11,5;10,8;16,1;13,63;17,2;11,6;11,6;19,4;10,5;14,05
KD [20, 𝞴=0.1];15,4;15,36;16,8;10,1;13,44;17,6;10,7;8,9;12,40;16,9;12,0;12,2;15,9;14,23;18,2;12,1;12,2;21,0;10,6;14,81
KD [1t, 𝞴=0.1];15,4;15,36;17,9;10,5;14,22;18,3;10,9;8,8;12,65;17,3;12,7;13,1;16,0;14,76;18,3;12,3;12,2;20,8;10,4;14,81
ER [2k, 𝞴=0.1];15,4;15,36;16,4;10,1;13,26;17,3;10,9;9,0;12,39;16,0;11,2;10,5;16,0;13,43;17,0;11,3;11,8;19,3;10,4;13,97
ER [200, 𝞴=0.1];15,4;15,36;16,8;10,3;13,58;17,5;10,5;9,1;12,36;16,2;11,4;10,8;16,0;13,62;17,2;11,7;11,8;19,9;10,5;14,21
ER [20, 𝞴=0.1];15,4;15,36;17,1;10,3;13,72;17,9;10,9;9,1;12,60;16,7;12,4;12,5;16,1;14,41;17,8;11,8;12,3;20,8;10,5;14,62
ER [1t, 𝞴=0.1];15,4;15,36;17,9;10,3;14,11;18,0;11,1;8,8;12,64;17,4;12,8;12,7;16,0;14,74;18,2;11,8;12,5;21,0;10,5;14,80
SVR [Loss not scaled with (t-1), 1t];15,4;15,36;15,8;10,3;13,05;16,8;10,4;9,2;12,12;15,5;10,9;10,6;17,0;13,47;16,5;11,1;11,1;18,6;10,7;13,56
SVR [Loss not scaled with (t-1), no KD loss, 1t];15,4;15,36;16,2;10,9;13,56;16,8;10,6;9,2;12,16;15,9;10,9;10,6;17,1;13,63;16,8;11,2;11,2;19,0;10,7;13,78
SVR [1];15,4;15,36;15,8;10,3;13,05;16,7;10,2;9,2;12,05;15,8;10,6;10,2;17,9;13,61;16,0;10,5;10,5;18,6;11,0;13,33
SVR [20];15,4;15,36;15,8;10,3;13,05;16,1;9,8;9,3;11,75;15,6;10,3;10,0;17,3;13,28;16,3;10,4;10,4;18,5;11,1;13,34
SVR [No regularization];15,4;15,36;16,0;10,4;13,18;17,2;10,3;9,1;12,21;16,4;11,2;11,1;16,3;13,75;17,0;11,0;11,8;19,0;10,6;13,87
SVR [using old non-Linear params, 1t];15,4;15,36;15,8;11,4;13,58;15,6;10,8;10,4;12,26;15,3;11,1;11,0;19,5;14,21;15,9;11,0;11,1;19,8;11,6;13,85
SVR [using new non-Linear params, 1t];15,4;15,36;16,0;10,3;13,16;16,8;10,3;9,2;12,07;15,7;10,8;10,5;17,3;13,59;16,5;11,0;11,2;19,5;11,0;13,84